movieId,name,year,genre
182,Gosuto masuta,2021,Horror
183,Victim of Love,2021,Horror
184,The Dark and The Wicked,2021,Horror
185,Crack House of the Dead,2021,Horror
186,Andra Sidan,2021,Horror
187,Funhouse,2021,Horror
188,Ghostbusters: Afterlife,2021,Comedy
189,Cruella,2021,Comedy
190,Space Jam: A New Legacy,2021,Comedy
191,The Hitman's Wife's Bodyguard,2021,Comedy
192,The French Dispatch,2021,Comedy
193,Dazed and Confused,2021,Comedy
194,The House Next Door: Meet the Blacks 2,2021,Comedy
195,Here Today,2021,Comedy
196,The War with Grandpa,2021,Comedy
197,Queen Bees,2021,Comedy
198,Together Together,2021,Comedy
199,Honsla Rakh,2021,Comedy
200,Scott Pilgrim vs. The World,2021,Comedy
201,Un rescate de huevitos,2021,Comedy
202,French Exit,2021,Comedy
203,Jathi Ratnalu,2021,Comedy
204,Ghostbusters,2021,Comedy
205,Bo Gia,2021,Comedy
206,Blithe Spirit,2021,Comedy
207,India Sweets and Spices,2021,Comedy
208,I'm Your Man,2021,Comedy
209,Delicieux,2021,Comedy
210,Once I Was Engaged,2021,Comedy
211,Together,2021,Comedy
212,Half Brothers,2021,Comedy
213,Shiva Baby,2021,Comedy
214,Walking with Herb,2021,Comedy
215,Tango Shalom,2021,Comedy
216,Riders of Justice,2021,Comedy
217,Christmas Vs The Walters,2021,Comedy
218,The Nowhere Inn,2021,Comedy
219,Last Call,2021,Comedy
220,Senior Moment,2021,Comedy
221,Mainstream,2021,Comedy
222,La daronne,2021,Comedy
223,Our Ladies,2021,Comedy
224,The Ladykillers,2021,Comedy
225,Mandibules,2021,Comedy
226,Effacer l'historique,2021,Comedy
227,How It Ends,2021,Comedy
228,Sniegu juz nigdy nie bedzie,2021,Comedy
229,First Date,2021,Comedy
230,Best Sellers,2021,Comedy
231,Zombie Bro,2021,Comedy
232,Blanche comme neige,2021,Comedy
233,El Planeta,2021,Comedy
234,Here After,2021,Comedy
235,Rock Paper Scissors,2021,Comedy
236,Deux,2021,Comedy
237,Project Space 13,2021,Comedy
238,Elbow Grease,2021,Comedy
239,Killer Raccoons 2,2021,Comedy
240,The Bra,2021,Comedy
241,Old,2021,Thriller
242,Nobody,2021,Thriller
243,The Little Things,2021,Thriller
244,Last Night in Soho,2021,Thriller
245,Those Who Wish Me Dead,2021,Thriller
246,Ironbark,2021,Thriller
247,Reminiscence,2021,Thriller
248,Fatale,2021,Thriller
249,Voyagers,2021,Thriller
250,The Card Counter,2021,Thriller
251,Profile,2021,Thriller
252,Dreamland,2021,Thriller
253,The Dry,2021,Thriller
254,Dutch,2021,Thriller
255,Nuevo Orden,2021,Thriller
256,Six Minutes to Midnight,2021,Thriller
257,Safer at Home,2021,Thriller
258,Spy no Tsuma,2021,Thriller
259,Lansky,2021,Thriller
260,Always & Forever,2021,Thriller
261,My Zoe,2021,Thriller
262,The God Committee,2021,Thriller
263,Yakuza Princess,2021,Thriller
264,The Beta Test,2021,Thriller
265,The Night,2021,Thriller
266,John and the Hole,2021,Thriller
267,The Violent Heart,2021,Thriller
268,Final Frequency,2021,Thriller
269,Angelique's Isle,2021,Thriller
270,Dark State,2021,Thriller
271,Tomato Red,2021,Thriller
272,Blood Brothers,2021,Thriller
273,Below the Fold,2021,Thriller
274,The Shade Shepherd,2021,Thriller
275,Let Him Go,2021,Thriller
276,Roadrunner,2021,Documentary
277,Summer of Soul,2021,Documentary
278,Show Me the Father,2021,Documentary
279,The Jesus Music,2021,Documentary
280,The Alpinist,2021,Documentary
281,The Rescue,2021,Documentary
282,The Sparks Brothers,2021,Documentary
283,The Truffle Hunters,2021,Documentary
284,The Lost Leonardo,2021,Documentary
285,Final Account,2021,Documentary
286,Julia,2021,Documentary
287,Rita Moreno,2021,Documentary
288,Becoming Cousteau,2021,Documentary
289,Ailey,2021,Documentary
290,Gunda,2021,Documentary
291,The Loneliest Whale,2021,Documentary
292,On Broadway,2021,Documentary
293,In Balanchine's Classroom,2021,Documentary
294,CatVideoFest,2021,Documentary
295,The First Wave,2021,Documentary
296,Truman & Tennessee,2021,Documentary
297,Kurt Vonnegut: Unstuck in Time,2021,Documentary
298,MLK/FBI,2021,Documentary
299,Some Kind of Heaven,2021,Documentary
300,"All Light, Everywhere",2021,Documentary
301,The Human Factor,2021,Documentary
302,Das geheime Leben der Baume,2021,Documentary
303,Ascension (???),2021,Documentary
304,No Ordinary Man,2021,Documentary
305,Bring Your Own Brigade,2021,Documentary
306,Stray,2021,Documentary
307,Storm Lake,2021,Documentary
308,Lydia Lunch,2021,Documentary
309,The Meaning of Hitler,2021,Documentary
310,State Funeral,2021,Documentary
311,Sabaya,2021,Documentary
312,Petite fille,2021,Documentary
313,Can You Bring It,2021,Documentary
314,All the Streets are Silent,2021,Documentary
315,Enemies of the State,2021,Documentary
316,Writing With Fire,2021,Documentary
317,Bill Traylor: Chasing Ghosts,2021,Documentary
318,The Village Detective,2021,Documentary
319,A Glitch in the Matrix,2021,Documentary
320,"Amigo Skate, Cuba",2021,Documentary
